"d_x","d_y","ts_x","ts_y","f_x","f_y","cs_x","cs_y"
1450,719.221558,1450,3000,1450,1403.889648,1450,3000,
1451,719.221558,1451,3000,1451,1403.325195,1451,3000,
1452,719.181885,1452,3000,1452,1402.776978,1452,3050,
1453,719.181885,1453,3000,1453,1404.009033,1453,3000,
1454,719.181885,1454,3000,1454,1403.283081,1454,3000,
1455,718.348572,1455,3000,1455,1402.421387,1455,3050,
1456,718.308899,1456,3000,1456,1401.555542,1456,3050,
1457,718.715393,1457,3000,1457,1402.119507,1457,2975.609863,
1458,718.308899,1458,3100,1458,1402.181763,1458,3000,
1459,719.115356,1459,3100,1459,1401.393921,1459,3050,
1460,722.302795,1460,3100,1460,1400.914185,1460,3050,
1461,723.91571,1461,3100,1461,1402.533203,1461,3000,
1462,726.373474,1462,3100,1462,1402.432739,1462,3000,
1463,727.179932,1463,3100,1463,1403.432007,1463,3050,
1464,728.792847,1464,3100,1464,1402.744019,1464,3100,
1465,729.599304,1465,3100,1465,1403.980957,1465,3050,
1466,732.018677,1466,3100,1466,1404.525635,1466,3050,
1467,732.825134,1467,3100,1467,1405.070557,1467,3050,
1468,734.47644,1468,3100,1468,1405.774902,1468,3050,
1469,735.282898,1469,3100,1469,1406.479614,1469,3050,
1470,736.127747,1470,3100,1470,1406.479614,1470,3100,
1471,736.127747,1471,3100,1471,1406.258057,1471,3100,
1472,736.972595,1472,3100,1472,1406.117065,1472,3100,
1473,737.405334,1473,3100,1473,1407.445312,1473,3073.170654,
1474,737.838074,1474,3100,1474,1407.390869,1474,3100,
1475,737.031616,1475,3100,1475,1406.355835,1475,3150,
1476,737.876465,1476,3100,1476,1407.314697,1476,3100,
1477,737.070007,1477,3100,1477,1407.296753,1477,3150,
1478,737.108398,1478,3100,1478,1405.852783,1478,3150,
1479,737.108398,1479,3100,1479,1405.814209,1479,3100,
1480,737.14679,1480,3100,1480,1405.725708,1480,3150,
1481,737.953247,1481,3100,1481,1407.238159,1481,3050,
1482,738.030029,1482,3100,1482,1406.738281,1482,3100,
1483,738.836487,1483,3100,1483,1407.004395,1483,3050,
1484,738.913269,1484,3100,1484,1407.208618,1484,3100,
1485,739.719727,1485,3100,1485,1409.181519,1485,3050,
1486,739.796509,1486,3100,1486,1409.236084,1486,3100,
1487,740.602966,1487,3100,1487,1410.065674,1487,3050,
1488,740.679749,1488,3100,1488,1409.892822,1488,3100,
1489,739.873291,1489,3100,1489,1408.576538,1489,3150,
1490,739.911682,1490,3100,1490,1407.185913,1490,3150,
1491,739.911682,1491,3100,1491,1407.185913,1491,3100,
1492,739.143616,1492,3100,1492,1405.684326,1492,3200,
1493,739.143616,1493,3100,1493,1405.891357,1493,3100,
1494,739.182007,1494,3100,1494,1404.659912,1494,3150,
1495,739.182007,1495,3100,1495,1404.787964,1495,3100,
1496,738.452332,1496,3100,1496,1404.921875,1496,3150,
1497,738.885071,1497,3100,1497,1405.513916,1497,3073.170654,
1498,738.531006,1498,3100,1498,1406.556885,1498,3100,
1499,740.093506,1499,3200,1499,1407.745117,1499,3100,
1500,743.292908,1500,3200,1500,1408.334961,1500,3100,
1501,744.512451,1501,3200,1501,1409.537598,1501,3121.951172,
1502,747.275391,1502,3200,1502,1408.582031,1502,3150,
