"d_x","d_y","cs_x","cs_y"
4663,932.954712,4663,3400,
4664,932.954712,4664,3400,
4665,932.219421,4665,3450,
4666,932.219421,4666,3450,
4667,932.954712,4667,3350,
4668,932.219421,4668,3450,
4669,932.219421,4669,3400,
4670,933.64801,4670,3400,
4671,935.076599,4671,3500,
4672,935.790894,4672,3450,
4673,936.505188,4673,3500,
4674,937.219482,4674,3450,
4675,937.219482,4675,3500,
4676,937.933777,4676,3450,
4677,938.648071,4677,3450,
4678,939.362366,4678,3500,
4679,939.362366,4679,3500,
4680,938.648071,4680,3550,
4681,939.362366,4681,3450,
4682,939.362366,4682,3500,
4683,940.07666,4683,3500,
4684,940.07666,4684,3500,
4685,940.790955,4685,3450,
4686,942.219543,4686,3450,
4687,942.219543,4687,3500,
4688,941.505249,4688,3550,
4689,941.505249,4689,3500,
4690,941.505249,4690,3500,
4691,942.219543,4691,3450,
4692,942.219543,4692,3500,
4693,943.648132,4693,3450,
4694,944.362427,4694,3450,
4695,944.362427,4695,3500,
4696,945.076721,4696,3500,
4697,944.362427,4697,3550,
4698,945.076721,4698,3500,
4699,945.791016,4699,3450,
4700,946.50531,4700,3450,
4701,947.219604,4701,3450,
4702,947.933899,4702,3450,
4703,948.648193,4703,3550,
4704,949.362488,4704,3450,
4705,949.362488,4705,3500,
4706,949.362488,4706,3500,
4707,949.362488,4707,3500,
4708,950.076782,4708,3450,
4709,950.076782,4709,3500,
4710,950.076782,4710,3500,
4711,950.791077,4711,3500,
4712,951.505371,4712,3450,
4713,952.894287,4713,3500,
4714,954.283203,4714,3500,
4715,956.366516,4715,3450,
4716,959.838745,4716,3450,
4717,961.227661,4717,3500,
4718,964.005432,4718,3550,
4719,965.394348,4719,3500,
4720,967.477661,4720,3450,
4721,969.561035,4721,3500,
4722,970.255493,4722,3550,
4723,970.949951,4723,3600,
4724,971.644409,4724,3550,
4725,972.338867,4725,3550,
4726,972.338867,4726,3600,
4727,973.727783,4727,3500,
4728,975.116699,4728,3500,
4729,975.116699,4729,3600,
4730,975.811157,4730,3550,
4731,975.811157,4731,3600,
4732,975.811157,4732,3600,
4733,976.505615,4733,3600,
4734,976.505615,4734,3600,
4735,977.200073,4735,3550,
4736,978.588989,4736,3550,
4737,978.588989,4737,3600,
4738,979.283447,4738,3600,
4739,979.977905,4739,3550,
4740,979.977905,4740,3600,
4741,979.977905,4741,3600,
4742,979.977905,4742,3600,
4743,980.672363,4743,3600,
4744,980.672363,4744,3600,
4745,981.366821,4745,3550,
4746,981.366821,4746,3600,
4747,980.672363,4747,3650,
4748,979.977905,4748,3600,
4749,979.977905,4749,3600,
4750,979.977905,4750,3600,
4751,980.672363,4751,3550,
4752,980.672363,4752,3600,
